8 0
2 0
1 0
5 0
10 0
20 0
14 0
13 0
17 0
22 0
3 0
-11 0
23 0
-15 0
-7 0
-9 0
-4 0
-12 0
-6 0
-19 0
-21 0
-16 0
-24 0
-18 0
-12 0
-24 0
-324 119 0
-324 -110 0
-324 136 0
-324 -143 0
-325 118 0
-325 115 0
-325 -139 0
-325 140 0
-326 115 0
-326 111 0
-326 -109 0
-326 136 0
-326 -135 0
-327 112 0
-327 240 0
-327 144 0
-328 113 0
-328 116 0
-328 -140 0
-328 139 0
-329 -109 0
-329 115 0
-330 115 0
-330 109 0
-330 -133 0
-331 -122 0
-331 128 0
-332 128 0
-332 122 0
-332 -146 0
-333 128 0
-333 131 0
-333 -122 0
-333 148 0
-333 -155 0
-334 130 0
-334 127 0
-334 -151 0
-334 152 0
-335 127 0
-335 123 0
-335 -121 0
-335 148 0
-335 -147 0
-336 124 0
-336 228 0
-336 156 0
-337 125 0
-337 128 0
-337 -152 0
-337 151 0
-338 -121 0
-338 127 0
-339 127 0
-339 121 0
-339 -145 0
-340 -134 0
-340 140 0
-341 140 0
-341 134 0
-341 -158 0
-342 140 0
-342 143 0
-342 -134 0
-342 160 0
-342 -167 0
-343 142 0
-343 139 0
-343 -163 0
-343 164 0
-344 139 0
-344 135 0
-344 -133 0
-344 160 0
-344 -159 0
-345 136 0
-345 240 0
-345 168 0
-346 137 0
-346 140 0
-346 -164 0
-346 163 0
-347 -133 0
-347 139 0
-348 139 0
-348 133 0
-348 -157 0
-349 -146 0
-349 152 0
-350 152 0
-350 146 0
-350 -170 0
-351 152 0
-351 155 0
-351 -146 0
-351 172 0
-351 -179 0
-352 154 0
-352 151 0
-352 -175 0
-352 176 0
-353 151 0
-353 147 0
-353 -145 0
-353 172 0
-353 -171 0
-354 148 0
-354 228 0
-354 180 0
-355 149 0
-355 152 0
-355 -176 0
-355 175 0
-356 -145 0
-356 151 0
-357 151 0
-357 145 0
-357 -169 0
-358 -158 0
-358 164 0
-359 164 0
-359 158 0
-359 -182 0
-360 164 0
-360 167 0
-360 -158 0
-360 184 0
-360 -191 0
-361 166 0
-361 163 0
-361 -187 0
-361 188 0
-362 163 0
-362 159 0
-362 -157 0
-362 184 0
-362 -183 0
-363 160 0
-363 240 0
-363 192 0
-364 161 0
-364 164 0
-364 -188 0
-364 187 0
-365 -157 0
-365 163 0
-366 163 0
-366 157 0
-366 -181 0
-367 -170 0
-367 176 0
-368 176 0
-368 170 0
-368 -194 0
-369 176 0
-369 179 0
-369 -170 0
-369 196 0
-369 -203 0
-370 178 0
-370 175 0
-370 -199 0
-370 200 0
-371 175 0
-371 171 0
-371 -169 0
-371 196 0
-371 -195 0
-372 172 0
-372 228 0
-372 204 0
-373 173 0
-373 176 0
-373 -200 0
-373 199 0
-374 -169 0
-374 175 0
-375 175 0
-375 169 0
-375 -193 0
-376 -182 0
-376 188 0
-377 188 0
-377 182 0
-377 -206 0
-378 188 0
-378 191 0
-378 -182 0
-378 208 0
-378 -215 0
-379 190 0
-379 187 0
-379 -211 0
-379 212 0
-380 187 0
-380 183 0
-380 -181 0
-380 208 0
-380 -207 0
-381 184 0
-381 240 0
-381 216 0
-382 185 0
-382 188 0
-382 -212 0
-382 211 0
-383 -181 0
-383 187 0
-384 187 0
-384 181 0
-384 -205 0
-385 -194 0
-385 200 0
-386 200 0
-386 194 0
-386 -218 0
-387 200 0
-387 203 0
-387 -194 0
-387 220 0
-387 -227 0
-388 202 0
-388 199 0
-388 -223 0
-388 224 0
-389 199 0
-389 195 0
-389 -193 0
-389 220 0
-389 -219 0
-390 196 0
-390 228 0
-390 228 0
-391 197 0
-391 200 0
-391 -224 0
-391 223 0
-392 -193 0
-392 199 0
-393 199 0
-393 193 0
-393 -217 0
-394 -206 0
-394 212 0
-395 212 0
-395 206 0
-395 -230 0
-396 212 0
-396 215 0
-396 -206 0
-396 232 0
-396 -239 0
-397 214 0
-397 211 0
-397 -235 0
-397 236 0
-398 211 0
-398 207 0
-398 -205 0
-398 232 0
-398 -231 0
-399 208 0
-399 240 0
-399 240 0
-400 209 0
-400 212 0
-400 -236 0
-400 235 0
-401 -205 0
-401 211 0
-402 211 0
-402 205 0
-402 -229 0
-403 0
